Date,EURO,Platinum,Gold,Crude Oil,Silver,Ethereum,Yeng,^DJI,BITCOIN,new_cases,new_deaths
"[2018, 9, 17]",1.166915655,799.7000122,1199.699951,68.91000366,14.12199974,209.9750061,0.008934,26062.11914,6371.299805,0,0
"[2018, 9, 18]",1.167992353,813.7000122,1196.800049,69.84999847,14.08399963,209.9690094,0.0089165,26246.96094,6398.540039,0,0
"[2018, 9, 19]",1.167460561,820.7000122,1202.199951,71.12000275,14.18900013,224.5910034,0.008925,26405.75977,6519.669922,0,0
"[2018, 9, 20]",1.177592754,833.0999756,1206.199951,70.80000305,14.21500015,246.5839844,0.0089065,26656.98047,6734.950195,0,0
"[2018, 9, 21]",,828.5,1196.199951,70.77999878,14.26900005,,0.0089,26743.5,6721.97998,0,0
"[2018, 9, 23]",1.175101995,826,,,,228.730011,,,6595.410156,0,0
"[2018, 9, 24]",1.175295353,828.2000122,1199.300049,72.08000183,14.2510004,218.5049896,0.008886,26562.05078,6446.470215,0,0
"[2018, 9, 25]",1.176318407,821.7999878,1200,72.27999878,14.39799976,215.8470001,0.008868,26492.21094,6495,0,0
"[2018, 9, 26]",1.174853444,824.5,1194,71.56999969,14.30500031,228.493988,0.0088755,26385.2793,6676.75,0,0
"[2018, 9, 27]",1.163737893,810.2999878,1182.300049,72.12000275,14.20100021,222.4019928,0.0088265,26439.92969,6644.129883,0,0
"[2018, 9, 28]",,818.7000122,1191.5,73.25,14.62300014,,0.008814,26458.31055,6601.959961,0,0
"[2018, 9, 30]",1.160537124,818.7000122,,,,230.7680054,,,6589.620117,0,0
"[2018, 10, 1]",1.157755733,824,1187.099976,75.30000305,14.42199993,227.1809998,0.008782,26651.21094,6556.100098,0,0
"[2018, 10, 2]",1.155174613,830.0999756,1202.400024,75.23000336,14.60999966,220.4889984,0.008804,26773.93945,6502.589844,0,0
"[2018, 10, 3]",1.147631288,832.2000122,1198.300049,76.41000366,14.59000015,222.2180023,0.008753,26828.39063,6576.689941,0,0
"[2018, 10, 4]",1.151808381,821,1197.199951,74.33000183,14.51000023,227.6009979,0.008786,26627.48047,6622.47998,0,0
"[2018, 10, 5]",,821.0999756,1201.199951,74.33999634,14.56900024,,0.008796,26447.05078,6588.310059,0,0
